,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
0,DisTest_Seed71034_Strain0p3_NumberOfCells214,ALL,36279.198034904715,wholeMod,0.0,0.003,0.0,542.7125,-0.03350000000000364,0.004238984066626576,0.011751742102205753,1.8700931486857668,1.72413793,0
0.1,DisTest_Seed71034_Strain0p3_NumberOfCells214,ALL,36279.198034904715,Martensite,0.0,0.003,0.0,542.7125,-0.03350000000000364,0.004238984066626576,0.011751742102205753,1.8700931486857668,1.72413793,0
0.2,DisTest_Seed71034_Strain0p3_NumberOfCells214,ALL,133497.08029442147,Ferrite,0.0,0.003,0.0,542.7125,-0.03350000000000364,0.002684358568512835,0.008688767440617085,2.5212397882003104,1.7241379310344,0
1,DisTest_Seed71034_Strain0p6_NumberOfCells6,ALL,2248.285158915015,wholeMod,0.0,0.006,0.0,754.593,-0.24500000000000455,0.028677437627731367,0.09852349013090134,2.5212397882003104,1.7241379310344,0
1.1,DisTest_Seed71034_Strain0p6_NumberOfCells6,ALL,5023.329358937088,Martensite,0.0,0.006,0.0,754.593,-0.24500000000000455,0.013344062841497362,0.055542103946208954,1.8700931486857668,1.72413793,0
1.2,DisTest_Seed71034_Strain0p6_NumberOfCells6,ALL,2248.285158915015,Ferrite,0.0,0.006,0.0,754.593,-0.24500000000000455,0.028677437627731367,0.09852349013090134,2.5212397882003104,1.7241379310344,0
2,DisTest_Seed36003_Strain0p6_NumberOfCells688,ALL,7569.381251521128,wholeMod,0.0,0.006,0.0,814.176,-0.2880000000000109,0.011679384915623814,0.04610937088727951,1.8700931486857668,1.72413793,0
2.1,DisTest_Seed36003_Strain0p6_NumberOfCells688,ALL,7569.381251521128,Martensite,0.0,0.006,0.0,814.176,-0.2880000000000109,0.01051981778194507,0.04610937088727951,1.8700931486857668,1.72413793,0
2.2,DisTest_Seed36003_Strain0p6_NumberOfCells688,ALL,10579.684705167356,Ferrite,0.0,0.006,0.0,814.176,-0.2880000000000109,0.011679384915623814,0.041508741676807404,2.5212397882003104,1.7241379310344,0
3,DisTest_Seed256091_Strain0p6_NumberOfCells688,ALL,6145.878960658015,wholeMod,0.0,0.006,0.0,816.4725,-0.2884999999999991,0.01187092377068965,0.03820212930440903,1.8700931486857668,1.72413793,0
3.1,DisTest_Seed256091_Strain0p6_NumberOfCells688,ALL,13272.366738272913,Ferrite,0.0,0.006,0.0,816.4725,-0.2884999999999991,0.010240097590271504,0.037936728447675705,2.5212397882003104,1.7241379310344,0
3.2,DisTest_Seed256091_Strain0p6_NumberOfCells688,ALL,6145.878960658015,Martensite,0.0,0.006,0.0,816.4725,-0.2884999999999991,0.01187092377068965,0.03820212930440903,1.8700931486857668,1.72413793,0
4,DisTest_Seed256091_Strain0p6_NumberOfCells214,ALL,5904.048501940933,wholeMod,0.0,0.006,0.0,802.2795,-0.2944999999999709,0.012150559772519354,0.053881097584962845,1.8700931486857668,1.72413793,0
4.1,DisTest_Seed256091_Strain0p6_NumberOfCells214,ALL,5904.048501940933,Martensite,0.0,0.006,0.0,802.2795,-0.2944999999999709,0.012150559772519354,0.04522234946489334,1.8700931486857668,1.72413793,0
4.2,DisTest_Seed256091_Strain0p6_NumberOfCells214,ALL,10508.135205858058,Ferrite,0.0,0.006,0.0,802.2795,-0.2944999999999709,0.01172544338208224,0.053881097584962845,2.5212397882003104,1.7241379310344,0
5,DisTest_Seed36003_Strain0p9_NumberOfCells85,ALL,831.5773189893014,wholeMod,0.0,0.009,0.0,964.442,-1.1509999999999536,0.05105880233976576,0.1771572232246399,2.5212397882003104,1.7241379310344,0
