,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
0,DisTest_Seed71034_Strain700_NumberOfCells688,ALL,20010.603491906364,wholeMod,0.0,0.004591935,2.2650000000004264e-06,700.0,0.0,0.00598593958727035,0.0217702928930521,1.8700931486857668,1.72413793,0
0.1,DisTest_Seed71034_Strain700_NumberOfCells688,ALL,62925.72534084014,Ferrite,0.0,0.004591935,2.2650000000004264e-06,700.0,0.0,0.004152348333531443,0.018700584769248962,2.5212397882003104,1.7241379310344,0
0.2,DisTest_Seed71034_Strain700_NumberOfCells688,ALL,20010.603491906364,Martensite,0.0,0.004591935,2.2650000000004264e-06,700.0,0.0,0.00598593958727035,0.0217702928930521,1.8700931486857668,1.72413793,0
1,DisTest_Seed256091_Strain700_NumberOfCells85,ALL,10854.849877465444,wholeMod,0.0,0.00481153,3.829999999999806e-06,700.0,0.0,0.008534958646835192,0.04691707715392113,1.8700931486857668,1.72413793,0
1.1,DisTest_Seed256091_Strain700_NumberOfCells85,ALL,10854.849877465444,Martensite,0.0,0.00481153,3.829999999999806e-06,700.0,0.0,0.008534958646835192,0.02637491561472416,1.8700931486857668,1.72413793,0
1.2,DisTest_Seed256091_Strain700_NumberOfCells85,ALL,21249.562024454128,Ferrite,0.0,0.00481153,3.829999999999806e-06,700.0,0.0,0.007793834186017965,0.04691707715392113,2.5212397882003104,1.7241379310344,0
2,DisTest_Seed71034_Strain500_NumberOfCells85,ALL,136210.10112557033,wholeMod,0.0,0.0026292349999999997,1.1549999999996459e-06,500.0,0.0,0.0026532168655345836,0.009702048264443874,2.5212397882003104,1.7241379310344,0
2.1,DisTest_Seed71034_Strain500_NumberOfCells85,ALL,136210.10112557033,Ferrite,0.0,0.0026292349999999997,1.1549999999996459e-06,500.0,0.0,0.0026532168655345836,0.009702048264443874,2.5212397882003104,1.7241379310344,0
2.2,DisTest_Seed71034_Strain500_NumberOfCells85,ALL,143704.78958956155,Martensite,0.0,0.0026292349999999997,1.1549999999996459e-06,500.0,0.0,0.0019077871371298394,0.008103450760245323,1.8700931486857668,1.72413793,0
3,DisTest_Seed783331_Strain900_NumberOfCells85,ALL,2444.0894055248646,wholeMod,0.0,0.007591815,3.109500000000008e-05,899.999,0.0,0.023339173197746275,0.11904031783342361,1.8700931486857668,1.72413793,0
3.1,DisTest_Seed783331_Strain900_NumberOfCells85,ALL,2444.0894055248646,Martensite,0.0,0.007591815,3.109500000000008e-05,899.999,0.0,0.020265406828272988,0.07287529110908508,1.8700931486857668,1.72413793,0
3.2,DisTest_Seed783331_Strain900_NumberOfCells85,ALL,3206.8890904531795,Ferrite,0.0,0.007591815,3.109500000000008e-05,899.999,0.0,0.023339173197746275,0.11904031783342361,2.5212397882003104,1.7241379310344,0
4,DisTest_Seed36003_Strain500_NumberOfCells85,ALL,55515.43970075673,wholeMod,0.0,0.00264247,1.1400000000001687e-06,500.0,0.0,0.0033120984910055998,0.008412156254053116,1.8700931486857668,1.72413793,0
4.1,DisTest_Seed36003_Strain500_NumberOfCells85,ALL,111984.40196190141,Ferrite,0.0,0.00264247,1.1400000000001687e-06,500.0,0.0,0.002972369401336268,0.008169207721948624,2.5212397882003104,1.7241379310344,0
4.2,DisTest_Seed36003_Strain500_NumberOfCells85,ALL,55515.43970075673,Martensite,0.0,0.00264247,1.1400000000001687e-06,500.0,0.0,0.0033120984910055998,0.008412156254053116,1.8700931486857668,1.72413793,0
5,DisTest_Seed61442_Strain700_NumberOfCells688,ALL,13466.645004697917,wholeMod,0.0,0.00458681,2.3300000000000404e-06,700.0,0.0,0.007531695938841612,0.024291418492794037,1.8700931486857668,1.72413793,0
5.1,DisTest_Seed61442_Strain700_NumberOfCells688,ALL,13466.645004697917,Martensite,0.0,0.00458681,2.3300000000000404e-06,700.0,0.0,0.007531695938841612,0.024291418492794037,1.8700931486857668,1.72413793,0
5.2,DisTest_Seed61442_Strain700_NumberOfCells688,ALL,67031.24268173106,Ferrite,0.0,0.00458681,2.3300000000000404e-06,700.0,0.0,0.00400288704455503,0.02045435458421707,2.5212397882003104,1.7241379310344,0
6,DisTest_Seed783331_Strain500_NumberOfCells85,ALL,72170.60729324646,wholeMod,0.0,0.002629125,1.145000000000139e-06,500.0,0.0,0.002844554301963685,0.007536320481449366,1.8700931486857668,1.72413793,0
6.1,DisTest_Seed783331_Strain500_NumberOfCells85,ALL,72170.60729324646,Martensite,0.0,0.002629125,1.145000000000139e-06,500.0,0.0,0.002844554301963685,0.007536320481449366,1.8700931486857668,1.72413793,0
6.2,DisTest_Seed783331_Strain500_NumberOfCells85,ALL,279447.74983011925,Ferrite,0.0,0.002629125,1.145000000000139e-06,500.0,0.0,0.0017488791267029368,0.007473616395145655,2.5212397882003104,1.7241379310344,0
7,DisTest_Seed71034_Strain700_NumberOfCells85,ALL,9809.47603017576,wholeMod,0.0,0.00478944,3.630000000000126e-06,700.0,0.0,0.00975350977941638,0.05949138477444649,1.8700931486857668,1.72413793,0
7.1,DisTest_Seed71034_Strain700_NumberOfCells85,ALL,14434.512402442058,Ferrite,0.0,0.00478944,3.630000000000126e-06,700.0,0.0,0.00975350977941638,0.05949138477444649,2.5212397882003104,1.7241379310344,0
7.2,DisTest_Seed71034_Strain700_NumberOfCells85,ALL,9809.47603017576,Martensite,0.0,0.00478944,3.630000000000126e-06,700.0,0.0,0.009051252235757543,0.02731814794242382,1.8700931486857668,1.72413793,0
8,DisTest_Seed36003_Strain900_NumberOfCells6,ALL,479.79909496003506,wholeMod,0.0,0.008553745,5.5315000000000225e-05,899.997,0.0,0.0702424556651014,0.2500646710395813,2.5212397882003104,1.7241379310344,0
8.1,DisTest_Seed36003_Strain900_NumberOfCells6,ALL,4202.847378684709,Martensite,0.0,0.008553745,5.5315000000000225e-05,899.997,0.0,0.01479816749425871,0.14295609295368195,1.8700931486857668,1.72413793,0
8.2,DisTest_Seed36003_Strain900_NumberOfCells6,ALL,479.79909496003506,Ferrite,0.0,0.008553745,5.5315000000000225e-05,899.997,0.0,0.0702424556651014,0.2500646710395813,2.5212397882003104,1.7241379310344,0
9,DisTest_Seed36003_Strain700_NumberOfCells85,ALL,7990.486480766541,wholeMod,0.0,0.004805365000000001,4.285000000000573e-06,700.0,0.0,0.011783007464212616,0.04722103103995323,1.8700931486857668,1.72413793,0
9.1,DisTest_Seed36003_Strain700_NumberOfCells85,ALL,10419.78168326054,Ferrite,0.0,0.004805365000000001,4.285000000000573e-06,700.0,0.0,0.011783007464212616,0.04722103103995323,2.5212397882003104,1.7241379310344,0
9.2,DisTest_Seed36003_Strain700_NumberOfCells85,ALL,7990.486480766541,Martensite,0.0,0.004805365000000001,4.285000000000573e-06,700.0,0.0,0.010194613598287106,0.021795742213726044,1.8700931486857668,1.72413793,0
10,DisTest_Seed36003_Strain900_NumberOfCells688,ALL,4980.317199174144,wholeMod,0.0,0.0070998450000000005,2.0295000000000035e-05,900.0,0.0,0.01748992265041532,0.07398340851068497,1.8700931486857668,1.72413793,0
10.1,DisTest_Seed36003_Strain900_NumberOfCells688,ALL,4980.317199174144,Martensite,0.0,0.0070998450000000005,2.0295000000000035e-05,900.0,0.0,0.013410784242053827,0.07398340851068497,1.8700931486857668,1.72413793,0
10.2,DisTest_Seed36003_Strain900_NumberOfCells688,ALL,5273.685748439452,Ferrite,0.0,0.0070998450000000005,2.0295000000000035e-05,900.0,0.0,0.01748992265041532,0.05554908514022827,2.5212397882003104,1.7241379310344,0
11,DisTest_Seed71034_Strain500_NumberOfCells6,ALL,26503.023603555037,wholeMod,0.0,0.002799925,1.5549999999998725e-06,500.0,0.0,0.006856505151676095,0.023362746462225914,2.5212397882003104,1.7241379310344,0
11.1,DisTest_Seed71034_Strain500_NumberOfCells6,ALL,69425.61137155133,Martensite,0.0,0.002799925,1.5549999999998725e-06,500.0,0.0,0.002909255097620189,0.012226464226841927,1.8700931486857668,1.72413793,0
11.2,DisTest_Seed71034_Strain500_NumberOfCells6,ALL,26503.023603555037,Ferrite,0.0,0.002799925,1.5549999999998725e-06,500.0,0.0,0.006856505151676095,0.023362746462225914,2.5212397882003104,1.7241379310344,0
12,DisTest_Seed71034_Strain900_NumberOfCells688,ALL,5515.908212995855,wholeMod,0.0,0.007099985,1.8814999999999284e-05,900.0,0.0,0.012910403272447486,0.06104618310928345,1.8700931486857668,1.72413793,0
12.1,DisTest_Seed71034_Strain900_NumberOfCells688,ALL,8900.994324625586,Ferrite,0.0,0.007099985,1.8814999999999284e-05,900.0,0.0,0.012910403272447486,0.05820775404572487,2.5212397882003104,1.7241379310344,0
12.2,DisTest_Seed71034_Strain900_NumberOfCells688,ALL,5515.908212995855,Martensite,0.0,0.007099985,1.8814999999999284e-05,900.0,0.0,0.012639368038722558,0.06104618310928345,1.8700931486857668,1.72413793,0
13,DisTest_Seed61442_Strain900_NumberOfCells688,ALL,4217.786398224947,wholeMod,0.0,0.007092655,2.110499999999956e-05,900.0,0.0,0.014767744854368544,0.057077184319496155,1.8700931486857668,1.72413793,0
13.1,DisTest_Seed61442_Strain900_NumberOfCells688,ALL,4217.786398224947,Martensite,0.0,0.007092655,2.110499999999956e-05,900.0,0.0,0.014767744854368544,0.05340147390961647,1.8700931486857668,1.72413793,0
13.2,DisTest_Seed61442_Strain900_NumberOfCells688,ALL,7354.119934640775,Ferrite,0.0,0.007092655,2.110499999999956e-05,900.0,0.0,0.014422028232365847,0.057077184319496155,2.5212397882003104,1.7241379310344,0
14,DisTest_Seed783331_Strain700_NumberOfCells688,ALL,11254.243403652936,wholeMod,0.0,0.00457578,2.369999999999803e-06,700.0,0.0,0.008357950247119408,0.02609625831246376,1.8700931486857668,1.72413793,0
14.1,DisTest_Seed783331_Strain700_NumberOfCells688,ALL,11254.243403652936,Martensite,0.0,0.00457578,2.369999999999803e-06,700.0,0.0,0.008357950247119408,0.019525889307260513,1.8700931486857668,1.72413793,0
14.2,DisTest_Seed783331_Strain700_NumberOfCells688,ALL,197819.86497601727,Ferrite,0.0,0.00457578,2.369999999999803e-06,700.0,0.0,0.002136867577300782,0.02609625831246376,2.5212397882003104,1.7241379310344,0
15,DisTest_Seed256091_Strain700_NumberOfCells688,ALL,12511.27579214486,wholeMod,0.0,0.00456979,2.3499999999999216e-06,700.0,0.0,0.007860104338952192,0.021094266325235367,1.8700931486857668,1.72413793,0
15.1,DisTest_Seed256091_Strain700_NumberOfCells688,ALL,58135.94060122331,Ferrite,0.0,0.00456979,2.3499999999999216e-06,700.0,0.0,0.004347466299996564,0.018925834447145462,2.5212397882003104,1.7241379310344,0
15.2,DisTest_Seed256091_Strain700_NumberOfCells688,ALL,12511.27579214486,Martensite,0.0,0.00456979,2.3499999999999216e-06,700.0,0.0,0.007860104338952192,0.021094266325235367,1.8700931486857668,1.72413793,0
16,DisTest_Seed256091_Strain500_NumberOfCells85,ALL,100044.75008675197,wholeMod,0.0,0.0026497400000000003,1.130000000000228e-06,500.0,0.0,0.002353696932044366,0.00845412164926529,1.8700931486857668,1.72413793,0
16.1,DisTest_Seed256091_Strain500_NumberOfCells85,ALL,100044.75008675197,Martensite,0.0,0.0026497400000000003,1.130000000000228e-06,500.0,0.0,0.002353696932044366,0.00834830291569233,1.8700931486857668,1.72413793,0
16.2,DisTest_Seed256091_Strain500_NumberOfCells85,ALL,337945.0373166527,Ferrite,0.0,0.0026497400000000003,1.130000000000228e-06,500.0,0.0,0.0015663305901503866,0.00845412164926529,2.5212397882003104,1.7241379310344,0
17,DisTest_Seed71034_Strain700_NumberOfCells6,ALL,3795.573985297636,wholeMod,0.0,0.005184245,4.235000000000003e-06,700.0,0.0,0.021165728677324084,0.07010716199874878,2.5212397882003104,1.7241379310344,0
17.1,DisTest_Seed71034_Strain700_NumberOfCells6,ALL,7572.54342008402,Martensite,0.0,0.005184245,4.235000000000003e-06,700.0,0.0,0.010517269675619901,0.040306974202394485,1.8700931486857668,1.72413793,0
17.2,DisTest_Seed71034_Strain700_NumberOfCells6,ALL,3795.573985297636,Ferrite,0.0,0.005184245,4.235000000000003e-06,700.0,0.0,0.021165728677324084,0.07010716199874878,2.5212397882003104,1.7241379310344,0
18,DisTest_Seed256091_Strain900_NumberOfCells6,ALL,1196.4593381196908,wholeMod,0.0,0.00848461,5.360000000000087e-05,899.9975,0.0004999999999881766,0.041345985205127646,0.19866913557052612,2.5212397882003104,1.7241379310344,0
18.1,DisTest_Seed256091_Strain900_NumberOfCells6,ALL,2397.9401083273647,Martensite,0.0,0.00848461,5.360000000000087e-05,899.9975,0.0004999999999881766,0.02049070993369376,0.13881100714206696,1.8700931486857668,1.72413793,0
18.2,DisTest_Seed256091_Strain900_NumberOfCells6,ALL,1196.4593381196908,Ferrite,0.0,0.00848461,5.360000000000087e-05,899.9975,0.0004999999999881766,0.041345985205127646,0.19866913557052612,2.5212397882003104,1.7241379310344,0
19,DisTest_Seed783331_Strain500_NumberOfCells6,ALL,27865.13766519547,wholeMod,0.0,0.00282448,1.7500000000000154e-06,500.0,0.0,0.006660067952116547,0.024359846487641335,2.5212397882003104,1.7241379310344,0
19.1,DisTest_Seed783331_Strain500_NumberOfCells6,ALL,45217.76228112923,Martensite,0.0,0.00282448,1.7500000000000154e-06,500.0,0.0,0.0037306454684585336,0.009735397063195705,1.8700931486857668,1.72413793,0
19.2,DisTest_Seed783331_Strain500_NumberOfCells6,ALL,27865.13766519547,Ferrite,0.0,0.00282448,1.7500000000000154e-06,500.0,0.0,0.006660067952116547,0.024359846487641335,2.5212397882003104,1.7241379310344,0
20,DisTest_Seed783331_Strain900_NumberOfCells688,ALL,3768.890623448512,wholeMod,0.0,0.007077885,2.1295000000000168e-05,900.0,0.0,0.015763744535679754,0.07095798850059509,1.8700931486857668,1.72413793,0
20.1,DisTest_Seed783331_Strain900_NumberOfCells688,ALL,3768.890623448512,Martensite,0.0,0.007077885,2.1295000000000168e-05,900.0,0.0,0.015763744535679754,0.06303533166646957,1.8700931486857668,1.72413793,0
20.2,DisTest_Seed783331_Strain900_NumberOfCells688,ALL,17836.78405805127,Ferrite,0.0,0.007077885,2.1295000000000168e-05,900.0,0.0,0.008626816306440603,0.07095798850059509,2.5212397882003104,1.7241379310344,0
21,DisTest_Seed783331_Strain900_NumberOfCells6,ALL,1166.4453504598632,wholeMod,0.0,0.0085439,5.3179999999999894e-05,899.9975,0.0004999999999881766,0.03449601912871003,0.22350023686885834,1.8700931486857668,1.72413793,0
21.1,DisTest_Seed783331_Strain900_NumberOfCells6,ALL,1166.4453504598632,Martensite,0.0,0.0085439,5.3179999999999894e-05,899.9975,0.0004999999999881766,0.03112303120670495,0.12931306660175323,1.8700931486857668,1.72413793,0
21.2,DisTest_Seed783331_Strain900_NumberOfCells6,ALL,1635.0316314371382,Ferrite,0.0,0.0085439,5.3179999999999894e-05,899.9975,0.0004999999999881766,0.03449601912871003,0.22350023686885834,2.5212397882003104,1.7241379310344,0
22,DisTest_Seed61442_Strain700_NumberOfCells6,ALL,3503.7086486059166,wholeMod,0.0,0.005228275,4.40499999999986e-06,700.0,0.0,0.022171134714569364,0.07770437747240067,2.5212397882003104,1.7241379310344,0
22.1,DisTest_Seed61442_Strain700_NumberOfCells6,ALL,6151.7787140593955,Martensite,0.0,0.005228275,4.40499999999986e-06,700.0,0.0,0.011864319373853505,0.04116985946893692,1.8700931486857668,1.72413793,0
22.2,DisTest_Seed61442_Strain700_NumberOfCells6,ALL,3503.7086486059166,Ferrite,0.0,0.005228275,4.40499999999986e-06,700.0,0.0,0.022171134714569364,0.07770437747240067,2.5212397882003104,1.7241379310344,0
23,DisTest_Seed36003_Strain700_NumberOfCells688,ALL,16549.181702627327,wholeMod,0.0,0.0045917300000000005,2.310000000000159e-06,700.0,0.0,0.007252125646032038,0.025336572900414467,1.8700931486857668,1.72413793,0
23.1,DisTest_Seed36003_Strain700_NumberOfCells688,ALL,16549.181702627327,Martensite,0.0,0.0045917300000000005,2.310000000000159e-06,700.0,0.0,0.006683021426821748,0.025336572900414467,1.8700931486857668,1.72413793,0
23.2,DisTest_Seed36003_Strain700_NumberOfCells688,ALL,24059.748889194878,Ferrite,0.0,0.0045917300000000005,2.310000000000159e-06,700.0,0.0,0.007252125646032038,0.0214595515280962,2.5212397882003104,1.7241379310344,0
24,DisTest_Seed783331_Strain500_NumberOfCells688,ALL,151274.15514418398,wholeMod,0.0,0.002589175,6.450000000000726e-07,500.0,0.0,0.001851823923454897,0.008113977499306202,1.8700931486857668,1.72413793,0
24.1,DisTest_Seed783331_Strain500_NumberOfCells688,ALL,151274.15514418398,Martensite,0.0,0.002589175,6.450000000000726e-07,500.0,0.0,0.001851823923454897,0.008113977499306202,1.8700931486857668,1.72413793,0
24.2,DisTest_Seed783331_Strain500_NumberOfCells688,ALL,6998986108.3730345,Ferrite,0.0,0.002589175,6.450000000000726e-07,500.0,0.0,4.914663367043278e-06,0.0030357723589986563,2.5212397882003104,1.7241379310344,0
25,DisTest_Seed783331_Strain700_NumberOfCells85,ALL,8623.868489572467,wholeMod,0.0,0.00477705,3.9499999999999605e-06,700.0,0.0,0.009753399318058605,0.04112628474831581,1.8700931486857668,1.72413793,0
25.1,DisTest_Seed783331_Strain700_NumberOfCells85,ALL,8623.868489572467,Martensite,0.0,0.00477705,3.9499999999999605e-06,700.0,0.0,0.009753399318058605,0.020359085872769356,1.8700931486857668,1.72413793,0
25.2,DisTest_Seed783331_Strain700_NumberOfCells85,ALL,22422.79285953481,Ferrite,0.0,0.00477705,3.9499999999999605e-06,700.0,0.0,0.007554646079929976,0.04112628474831581,2.5212397882003104,1.7241379310344,0
