,ModelName,ModelGroup,Lifetime,Phase,_LoadingMode,StrainAmplitude,StrainMean,StressAmplitude,StressMean,FIPmax,FIPmaxLocal,FIPcrit,m_FIP,IsExperimentalData
0,WCurve_Seed61442_Strain0p9_VolumeFraction0,ALL,1961.609054167678,wholeMod,0.0,0.009,0.0,770.5775000000001,-0.23749999999995453,0.031038371498681723,0.12750093638896942,2.5212397882003104,1.7241379310344,0
0.1,WCurve_Seed61442_Strain0p9_VolumeFraction0,ALL,1961.609054167678,Ferrite,0.0,0.009,0.0,770.5775000000001,-0.23749999999995453,0.031038371498681723,0.12750093638896942,2.5212397882003104,1.7241379310344,0
1,WCurve_Seed54667_Strain0p9_VolumeFraction0,ALL,1261.5326464116854,wholeMod,0.0,0.009,0.0,774.219,-0.2399999999998954,0.0400952592379216,0.15081475675106049,2.5212397882003104,1.7241379310344,0
1.1,WCurve_Seed54667_Strain0p9_VolumeFraction0,ALL,1261.5326464116854,Ferrite,0.0,0.009,0.0,774.219,-0.2399999999998954,0.0400952592379216,0.15081475675106049,2.5212397882003104,1.7241379310344,0
2,WCurve_Seed22187_Strain0p9_VolumeFraction0,ALL,2071.5900326828228,wholeMod,0.0,0.009,0.0,768.0345,-0.24149999999997362,0.030071697275464732,0.1492229402065277,2.5212397882003104,1.7241379310344,0
2.1,WCurve_Seed22187_Strain0p9_VolumeFraction0,ALL,2071.5900326828228,Ferrite,0.0,0.009,0.0,768.0345,-0.24149999999997362,0.030071697275464732,0.1492229402065277,2.5212397882003104,1.7241379310344,0
3,WCurve_Seed78333_Strain0p9_VolumeFraction0,ALL,594.8257724138407,wholeMod,0.0,0.009,0.0,765.283,-0.23699999999996635,0.06201090668918381,0.11741393059492111,2.5212397882003104,1.7241379310344,0
3.1,WCurve_Seed78333_Strain0p9_VolumeFraction0,ALL,594.8257724138407,Ferrite,0.0,0.009,0.0,765.283,-0.23699999999996635,0.06201090668918381,0.11741393059492111,2.5212397882003104,1.7241379310344,0
4,WCurve_Seed22187_Strain0p3_VolumeFraction0,ALL,84962.83877330298,wholeMod,0.0,0.003,0.0,521.5215000000001,-0.15249999999991815,0.003488681511953473,0.013009974732995033,2.5212397882003104,1.7241379310344,0
4.1,WCurve_Seed22187_Strain0p3_VolumeFraction0,ALL,84962.83877330298,Ferrite,0.0,0.003,0.0,521.5215000000001,-0.15249999999991815,0.003488681511953473,0.013009974732995033,2.5212397882003104,1.7241379310344,0
5,WCurve_Seed81296_Strain0p3_VolumeFraction0,ALL,74999.87746807792,wholeMod,0.0,0.003,0.0,522.0515,-0.15049999999996544,0.0037504124435751387,0.011807608418166637,2.5212397882003104,1.7241379310344,0
5.1,WCurve_Seed81296_Strain0p3_VolumeFraction0,ALL,74999.87746807792,Ferrite,0.0,0.003,0.0,522.0515,-0.15049999999996544,0.0037504124435751387,0.011807608418166637,2.5212397882003104,1.7241379310344,0
6,WCurve_Seed93426_Strain0p9_VolumeFraction0,ALL,2604.7464578554386,wholeMod,0.0,0.009,0.0,771.389,-0.23500000000001364,0.026331171859055758,0.14958041906356812,2.5212397882003104,1.7241379310344,0
6.1,WCurve_Seed93426_Strain0p9_VolumeFraction0,ALL,2604.7464578554386,Ferrite,0.0,0.009,0.0,771.389,-0.23500000000001364,0.026331171859055758,0.14958041906356812,2.5212397882003104,1.7241379310344,0
7,WCurve_Seed25609_Strain0p9_VolumeFraction0,ALL,1571.209398802232,wholeMod,0.0,0.009,0.0,773.2905000000001,-0.24149999999997362,0.03530192537499326,0.10875364392995834,2.5212397882003104,1.7241379310344,0
7.1,WCurve_Seed25609_Strain0p9_VolumeFraction0,ALL,1571.209398802232,Ferrite,0.0,0.009,0.0,773.2905000000001,-0.24149999999997362,0.03530192537499326,0.10875364392995834,2.5212397882003104,1.7241379310344,0
8,WCurve_Seed71034_Strain0p9_VolumeFraction0,ALL,1189.7051040519289,wholeMod,0.0,0.009,0.0,769.2555,-0.23550000000000182,0.04148196720558664,0.19768553972244263,2.5212397882003104,1.7241379310344,0
8.1,WCurve_Seed71034_Strain0p9_VolumeFraction0,ALL,1189.7051040519289,Ferrite,0.0,0.009,0.0,769.2555,-0.23550000000000182,0.04148196720558664,0.19768553972244263,2.5212397882003104,1.7241379310344,0
9,WCurve_Seed61442_Strain0p6_VolumeFraction0,ALL,5696.3191967826615,wholeMod,0.0,0.006,0.0,726.385,-0.48699999999996635,0.016725127923145757,0.06069718301296234,2.5212397882003104,1.7241379310344,0
9.1,WCurve_Seed61442_Strain0p6_VolumeFraction0,ALL,5696.3191967826615,Ferrite,0.0,0.006,0.0,726.385,-0.48699999999996635,0.016725127923145757,0.06069718301296234,2.5212397882003104,1.7241379310344,0
10,WCurve_Seed54667_Strain0p6_VolumeFraction0,ALL,4631.983623030273,wholeMod,0.0,0.006,0.0,729.005,-0.49699999999995725,0.01885685594658358,0.07922690361738205,2.5212397882003104,1.7241379310344,0
10.1,WCurve_Seed54667_Strain0p6_VolumeFraction0,ALL,4631.983623030273,Ferrite,0.0,0.006,0.0,729.005,-0.49699999999995725,0.01885685594658358,0.07922690361738205,2.5212397882003104,1.7241379310344,0
11,WCurve_Seed45213_Strain0p6_VolumeFraction0,ALL,2891.183442641041,wholeMod,0.0,0.006,0.0,724.3745,-0.48450000000002547,0.024785077219015697,0.05870590731501579,2.5212397882003104,1.7241379310344,0
11.1,WCurve_Seed45213_Strain0p6_VolumeFraction0,ALL,2891.183442641041,Ferrite,0.0,0.006,0.0,724.3745,-0.48450000000002547,0.024785077219015697,0.05870590731501579,2.5212397882003104,1.7241379310344,0
12,WCurve_Seed93426_Strain0p6_VolumeFraction0,ALL,9302.534847347804,wholeMod,0.0,0.006,0.0,727.2405,-0.48450000000002547,0.01258419371450579,0.0746259018778801,2.5212397882003104,1.7241379310344,0
12.1,WCurve_Seed93426_Strain0p6_VolumeFraction0,ALL,9302.534847347804,Ferrite,0.0,0.006,0.0,727.2405,-0.48450000000002547,0.01258419371450579,0.0746259018778801,2.5212397882003104,1.7241379310344,0
13,WCurve_Seed78333_Strain0p6_VolumeFraction0,ALL,2324.2119646578076,wholeMod,0.0,0.006,0.0,721.1785,-0.46649999999999636,0.0281302911609831,0.05602113902568817,2.5212397882003104,1.7241379310344,0
13.1,WCurve_Seed78333_Strain0p6_VolumeFraction0,ALL,2324.2119646578076,Ferrite,0.0,0.006,0.0,721.1785,-0.46649999999999636,0.0281302911609831,0.05602113902568817,2.5212397882003104,1.7241379310344,0
14,WCurve_Seed36003_Strain0p9_VolumeFraction0,ALL,1668.7173350616604,wholeMod,0.0,0.009,0.0,769.943,-0.2400000000000091,0.03409040346741676,0.13028530776500702,2.5212397882003104,1.7241379310344,0
14.1,WCurve_Seed36003_Strain0p9_VolumeFraction0,ALL,1668.7173350616604,Ferrite,0.0,0.009,0.0,769.943,-0.2400000000000091,0.03409040346741676,0.13028530776500702,2.5212397882003104,1.7241379310344,0
15,WCurve_Seed45213_Strain0p9_VolumeFraction0,ALL,817.0147802429328,wholeMod,0.0,0.009,0.0,768.1005,-0.23649999999997817,0.051584687333186746,0.12172599136829376,2.5212397882003104,1.7241379310344,0
15.1,WCurve_Seed45213_Strain0p9_VolumeFraction0,ALL,817.0147802429328,Ferrite,0.0,0.009,0.0,768.1005,-0.23649999999997817,0.051584687333186746,0.12172599136829376,2.5212397882003104,1.7241379310344,0
16,WCurve_Seed93426_Strain0p3_VolumeFraction0,ALL,111876.84306580227,wholeMod,0.0,0.003,0.0,523.356,-0.14999999999997726,0.002974026503399113,0.010771885514259338,2.5212397882003104,1.7241379310344,0
16.1,WCurve_Seed93426_Strain0p3_VolumeFraction0,ALL,111876.84306580227,Ferrite,0.0,0.003,0.0,523.356,-0.14999999999997726,0.002974026503399113,0.010771885514259338,2.5212397882003104,1.7241379310344,0
